Country,Name,Renault Scenic,BMW 5-series,Peugeot 3008,Kia EV9,Volvo EX30,BYD Seal,Toyota C-HR,Link,VoteDetails
Austria,Horst Bauer,6,10,1,2,0,1,5,https://www.caroftheyear.org/votaciones/horst-bauer.php?1726491866,"My judgement is based on following grounds:
BMW 5-series
An excellent handling car with a high-quality interior and one of the best MMI in the business. But what elevates the new 5-series over the rest is the multi-solution-approach in handling the complex requests of today's car-costumers. Whether it should be a BEV, a PHEV, a gasoline- or a diesel-engine, the 5-series is ready to deliver without compromises. Plus, with the i5 Touring, BMW broadens the electric portfolio for customers, looking for a premium-BEV with the versatility and the sleek silhouette of a sporty Station Wagon.
BYD Seal
The first truly Chinese car ever to enter the shortlist has the looks, the quality and the pricing, that makes it a worthy competitor to the established brands. Despite improvements in ride and handling since the first drive with pre-series cars, the Seal still has room for improvement in managing the overwhelming power of its electric drivetrain. Software-glitches compromising the MMI also detain the Seal from a higher spot in the ranking.
Kia EV9
A technological forerunner, the very well manufactured BEV is a great SUV. But the 7-Seater with its impressive wheelbase does not match with the dimensions of European roads and public parking. So the ""Technology Ambassador from Korea"" is not set to win the title like the EV6. But it nurtures the hope, some of its technology will trickle down soon to Kias with more ""European"" dimensions.
Peugeot 3008
What happened to the successor of the ""Car of the Year 2017""? Bigger in any dimensions, it turned form a sleek, agile and fashionable compact family car to a heavy BEV with an into-the face SUV-appearance. Thus compromising also the version with the hybrid-drivetrain, that itself does not have to carry the burden of delivering electric-drive-range-records. Strongest part of the new E-3008/3008 remains the excellent, user-friendly and well-designed interior.
Renault Scenic
The new Scenic proofs, that a modern BEV with a versatile, roomy interior, state-of-the-art battery- and drivetrain-technology with a sufficient range, does not necessarily have to be a high-rising SUV. Hitting the sweet spot between overall-weight and range, the new Scenic is a lot better suited to the challenges of the transition to electrified road-traffic, as the infrastructure in most markets is. Coming as a BEV-only therefore lifts the Scenic in my ranking to the Podium - but not to the top of it.
Toyota C-HR
The most accessible car in the shortlist, with a choice of PHEV and hybrid drivetrains including a 4WD-option, the new C-HR collects its points also with good handling and for not overshooting in dimensions and weight. Some inconsistency in packaging, like not offering the virtual gearchange-possibility for the E-CVT or no permanent-AWD-option for snowy road-conditions, prevent the C-HR of fully living up to the requirements of a young, agile and sporty Crossover, it tries to be.
Volvo EX30
The latest SUV from Volvo sports a sleek, modern design and drives great. But it betrays the heritage of the brand as a safety-forerunner. Providing driver-related information at the center-display only, not directly in the driver's field of view - with a HUD as non-option - is somehow disturbing. And providing the ""smallest SUV from Volvo"" with up to 315 kW / 428 PS maximum power also leaves one at a loss with the concept behind the EX30."
,Susanne Hofbauer,8,10,1,1,2,1,2,https://www.caroftheyear.org/votaciones/susanne-hofbauer.php?1726491866,"My judgement is based on following grounds:
BMW 5-series
With the 5-series, BMW is exactly in tune with the times and has remained true to itself in important brand matters. The 5-series offers all forms of drivetrains on an equally emancipated level, from purely electric versions to diesel, with plug-in and hybrid versions in between, an estate is also available. Honoured above all else: the high technical level of the chassis, drive technology and operating details. This is how transformation works in all its maturity. Stability of value rules!
BYD Seal
I welcome the Seal as a refined statement from a Chinese brand on the European electric scene. On the plus side: independent stylistic identity, good building quality, a harmonious overall package, innovative battery technology and strong digital performance. Room for improvement: the chassis culture and more intuitive infotainment operation.
Kia EV9
The EV9 as the ambassador of the new Kia design has made a strong appearance. May Kia continue like this. Good qualities as a six- or seven-seater. Kia also deserves applause for its rapid development of vehicle-to-grid technology. With a length of over 5 metres, very large for Europe though.
Peugeot 3008
Where has Peugeot's understanding of elegance and sophisticated space solutions gone? The shape and technical features are too heavy for a model that aims to be ecologically exemplary. High weight due to large battery (98 kWh) in the pure electric model. The three-cylinder engine in the PHEV feels like an emergency solution. Great interior design tough, and fantastic seats.
Renault Scenic
If an electric model, then like this: Moderate in the important critical aspects of length (4.5 metres), weight (from 1750 kg), battery size (60 or 87 kWh), charging technology (max. 150 kW). Good looks. Good usability of everyday functions with refined modernized digital technology. Good space in the rear and boot, although we miss the old space miracle Scenic a little.
Toyota C-HR
Toyota also solidly lives its brand identity and value loyalty, in Japanese. Unique hybrid technology with a high level of technical seriousness, now as model C-HR in a new, slightly bolder, practical, and yet pleasing appearance. Some of the digital levels are a little awkward to operate. The CVT can learn from the Prius. Food for lovers of Japanese engineering.
Volvo EX30
The external appearance of the EX30 is a hit. Distinctive, clear design. No longer Volvo as we knew it before, but a good new line. In addition: compact length (4.23 m), reasonable battery sizes (51 or 69 kWh). But inside: everything, really everything, is only accessible via the central screen, from switching on the rear fog light to opening the glove compartment. Simplification as a misunderstanding."
,Dieter Hubmann,4,8,3,4,1,2,3,https://www.caroftheyear.org/votaciones/dieter-hubmann.php?1726491866,"My judgement is based on following grounds:
BMW 5-series
For my point of view a worthy winner: driving dynamics, assistance systems, noise insulation - BMW is top in all areas. The only drawback: the price.
BYD Seal
A first, respectable appearance in the final. From design to software. But the Seal shows weaknesses in the driving dynamics. The traction control, for example, is not sensitive enough.
Kia EV9
The missing link to the future of e-mobility, for example when integrating it into the power supply of a house or apartment. These technology solutions need to be quickly installed in smaller vehicles.
Peugeot 3008
The strengths: interior design, new platform. The electric 3008 drives better than the hybrid, the electric version seems more stable. But: Tendency to roll, relatively loud on paving stones.
Renault Scenic
The strengths: comfort, quality, driving behavior. What is missing for first place? For example 800-volt-technology, so higher charging speeds would be possible.
Toyota C-HR
All known hybrid solutions in one car, the best alternative to an electric car. Top: plug-in hybrid. But: The small hybrid seems strained, the steering could basically be a little better.
Volvo EX30
The Volvo shows surprisingly good performance in terms of driving dynamics. But Volvo does not meet it's own requirements: In terms of safety, the speed display only in the middle screen is not sufficient."
Belgium,Joost Bolle,10,0,5,3,3,4,0,https://www.caroftheyear.org/votaciones/joost-bolle.php?1726491866,"BMW 5-series
The 5-series has the advantage of being available with various propulsion modes. Moreover, the i5 is one of the best-driving EVs on the market. However, I find it unattainable for too many people due to its price tag and, therefore, not eligible for the title of 'Car of the Year.'
BYD Seal
The Seal is a pleasant car for long distances, especially on excellent roads. However, its suspension doesn't provide the comfort level of sister model 'Seal U' on poorer roads, which are quite common in my country. In addition to a few practical issues (adjusting ventilation slots via a touch menu...), I find this a reason not to place it at number one.
Kia EV9
The KIA EV9 drives surprisingly well for an electric car of its size and weight. An excellent choice for those looking for a model in the large SUV category. However, it is not 'all-round' enough to qualify for what, in my opinion, should be a Car of the Year.
Peugeot 3008
The 3008 was certainly a contender for the first place, in my view. Excellent choice to offer it with both a gasoline engine next to the electric version. The reason I didn't place it in the top spot is due to the price of the electric version. When comparing it to the Scenic, as a rational consumer, one will undoubtedly choose the significantly cheaper Renault.
Renault Scenic
This year, Coty had seven strong finalists. However, considering all aspects, the Renault Scenic ticks the most boxes, while the other models have at least one shortcoming. The Scenic is well-finished, drives well, offers plenty of interior space, and is notably comfortable compared to many EVs. But most of all: its attractive price can play a role in popularizing EVs as family cars.
Toyota C-HR
The C-HR is a fun car but not practical. It has a small trunk and an awkwardly designed interior. It mainly targets an audience seeking a trendy car, willing to make concessions in practical use. Furthermore, it is priced high for what essentially is just a city car and not enough 'all round' as a Car of the Year should be in my opinion.
Volvo EX30
The Volvo has one 'no-go' aspect: no instrument panel that at least tells you how fast you are driving. For that, you have to look at the central touch screen to the right of the driver. In a Europe with increasingly more speed limits, this takes your gaze away from the direction of travel. A pity. Without this issue, I would definitely have given many more points to this nice car."
,Stéphane Lemeret,7,1,4,3,3,2,5,https://www.caroftheyear.org/votaciones/stephane-lemeret.php?1726491866,"My judgement is based on following grounds:
BMW 5-series
I've always liked BMWs, and this one is not a bad BMW. But I am extremely disappointed that the overall ergonomics of the new 5-series are much less intuitive and logical than those of previous BMWs. This harsh vote is intended to wake up the brand's ergonomics managers.
BYD Seal
This first Chinese car among the COTY finalists is impressive. But I would never buy this model due to some completely idiotic ergonomic details, like the inability to orient the ventilation vents as you want. Too bad, but BYD will surely come back even stronger next time!
Kia EV9
This proposal from Kia is very interesting and doesn't have many competitors on the market. But I remain convinced that such a heavy, bulky, and consuming electric car doesn't make much sense. Moreover, the EV9 uses the technology of the EV6 elected two years ago, which didn't motivate me to give it more points. But it's a very good car.
Peugeot 3008
Peugeot has chosen to offer a very long range to its E-3008. This will obviously please a category of buyers, but with a base version well exceeding 2 tons, the electric 3008 falls into a 'heavyweight' category that is difficult to endorse, especially since the price also reflects it. Fortunately, there is a hybrid version, which is very interesting.
Renault Scenic
This new Renault combines the most qualities and the fewest flaws among the 7 finalists of 2024. The compromise of range-weight-price is excellent and perfectly meets the market demands, at least in Belgium. I also appreciate the ergonomics of the Scenic, and the possibility to disconnect (with a simple button) all driving aids, mandatory but annoying.
Toyota C-HR
It's a bit of my crush among the 2024 finalists. Certainly, this C-HR is not available in EV, which becomes problematic (especially in Belgium), but this car is the liveliest and most enjoyable to drive in the 2024 selection. A subjective vote, but a refreshing one!
Volvo EX30
How can a manufacturer so reputed for safety market a car with such a dangerous ergonomics? There isn't even a speedometer in line with the road: everything goes through the central screen! Shameful cost-cutting, which doesn't prevent the EX30 from being a good electric car otherwise. But why not offer a less powerful and cheaper version?"
Czech Republic,Jiri Duchon,4,7,4,3,3,2,2,https://www.caroftheyear.org/votaciones/jiri-duchon.php?1726491866,"My judgement is based on following grounds:
BMW 5-series
The latest ""5er"" confirms its reputation as a traditional showcase of technical progress combined with everyday usability. Although the G60 will not offer as cozy driver's workplace as before, everything will be enhanced by a wide and finely-tuned range of engines, from the economical four-cylinder ""diesel"" to the fantastic plug-in hybrid 550e and excellent i5 with full electric drive.
BYD Seal
Historically, it's the first car from a Chinese brand to make it to the final of the COTY contest! It's a great electric car. With rich equipment and first-class workmanship, it stands out. On the racetrack, it outperforms European competitors with its ability to accelerate repeatedly and without showing signs of decreasing battery capacity. However, there may be a need for fine-tuning in corner exits.
Kia EV9
The EV9 is an impressive luxury electric car, accommodating up to seven passengers, exhibiting remarkable stability and ferocity even on the test race circuit. With its large battery, rich equipment, and excellent driving characteristics, it stands out in the realm of electric traction vehicles. It appears that self-confident Chinese can be actually scared only by Koreans...
Peugeot 3008
The first car built on the new STLA Medium platform! The electric E-3008 offers a decent range, but the weight of much over two tons is noticeable at every start and in every corner. Fortunately, the Stellantis with the STLA platform keeps the back door open in case complete electrification fails: the new platform also allows the installation of internal combustion engines.
Renault Scenic
A larger relative of the Megane E-Tech from the COTY 2022 final. It offers a spacious and welcoming interior. There is also plenty of space and smart solutions in the back seats. Could it be the first European family electric car? Quite possibly! Its lightweight and efficient construction contributes to its long range. Unfortunately, the engine is only in the front. And it's electric only...
Toyota C-HR
It has a playful feel, but it is a car where practicality has given way to looks. You cannot see to the sides from the rear seats and the large rear window lacks a wiper. The internal combustion engine is noisy and the transmission contributes to an unpleasant acoustic feel. Why didn't the Prius make it to the COTY 2024 finals? It is significantly better car in every way...
Volvo EX30
This Volvo is manufactured in China, but next year, as part of Volvo's comprehensive reduction of CO2 emissions, its assembly for Europe is set to begin in Belgium. Parent company Geely's proven all-electric platform is lightweight and powerful, produced in significant quantities, resulting in a favourable selling price. The interior is environmentally friendly and pleasant to the touch."
Denmark,Søren W. Rasmussen,6,9,5,1,2,1,1,https://www.caroftheyear.org/votaciones/soren-rasmussen.php?1726491866,"My judgement is based on following grounds:
BMW 5-series
This car is well designed both from the outside and in any technical aspect. As full-electric it drives extremely well and adds a set of very good-working assistant systems that provide the driver with a higher level of safety than usual for a new car. Other variants such as the Touring in combination with electric drivelines, diesel, and hybrids make the car relevant in almost all markets.
BYD Seal
Seal is in many ways an extremely encouraging experience. The interior impresses with both the fine assembly quality and the many smart solutions such as several screens around the driver's seat. BYD has had such a great desire to create a lightning-fast car that can beat all the competitors that driving comfort has taken a back seat. But still an impressive entry for BYD in this year's competition for Car of the Year.
Kia EV9
EV9 appears as a showcase for Korea's automotive industry, and it is very impressive to experience in practice. The car is well equipped and, in every way, a big car. The driving experience is fine on large roads, but in everyday life, the car still feels too big, and this can be a problem for some car owners.
Peugeot 3008
3008 is an impressive car that marks a new era for the brand. The car's design, cockpit layout, and driving experience have all been elevated to new heights, making it a standout option among its peers. While the electric version is especially attractive, the hybrid versions are less remarkable.
Renault Scenic
Now Renault is back as a leading BEV brand. Scenic combines in a very convincing way the traditional Scenic qualities such as extremely good space in the second row with a very fine driving experience. Furthermore, the Scenic comes with two battery sizes, allowing owners to prioritize either range or affordability. All of these attributes make the Scenic a standout vehicle.
Toyota C-HR
Toyota is known for letting the C-HR play with the design, and this applies not least to this new generation. However, I would have liked to see the car as a BEV instead of the current powertrains, which work well but seem to point more backward than forward.
Volvo EX30
The new mini-Volvo is a fine mini-SUV with many good features and not least a very nice design. But I am a bit disappointed by the gaps between this model and the many other Volvo models that usually impress with user-oriented layouts and better spaciousness. Here the EX30 lacks the usual Volvo touch."
Finland,Velimatti Honkanen,5,7,3,4,2,1,3,https://www.caroftheyear.org/votaciones/velimatti-honkanen.php?1726491866,"My judgement is based on following grounds:
BMW 5-series
BMW 5-series has managed to be faithful to its 50 year long tradition. The new generation is the best available compromise including almost all different powertrains - only fuel cell is missing. The electric i5 is very silent and comfortable, and so is the diesel. The i5 is excellent also in winter conditions. The Touring version brings even more options. On the wish list still remains some more rear legroom and a more simple HMI.
BYD Seal
BYD Seal is the first Chinese brand in the COTY final. The car is clearly a competitor to Tesla Model 3 and does many things great. The perceived quality is high and the performance is excellent. However, several areas still need attention: the center area of the steering feels synthetic, rear seat comfort is compromised and the menus in the touch screen are somewhat confusing.
Kia EV9
Kia EV9's futuristic design and large size steal attention in any car group. It gives ample space even for seven passengers and does not have many competitors with electric powertrain. Charging speed is impressive even in winter conditions thanks to the 800-volt electrical architecture. In order to keep the price reasonable the car has no four-wheel steering nor air suspension. Thus EV9 is a bit stiff in city blocks and the suspension comfort, especially in cold conditions, does not match the appearance.
Peugeot 3008
Like BMW also Peugeot relies on a multi-energy platform. The new 3008 is the first car with the new STLA Medium architecture. It is a reasonable car both in terms of space and features, but in many respects it is not superior to its competitors. Considering the brand new architecture, the E-3008 is quite heavy weighing 200 kg more than its main competitor Renault Scenic. The upcoming version with 700 km range is interesting and also the all-wheel drive and PHEV versions give more options.
Renault Scenic
The new electric Renault Scenic is rather a Grand Megane than an MPV that Scenic has been known as. There are no adjustments in the rear seats and no seven-seater is planned. But after you stop thinking about the old Scenic, the new one is a very nice car. It is lower, more agile and more driver oriented than the Peugeot 3008. Rear seat is roomy but the comfort is not optimal. The trunk is large but deep with a limited practicality.
Toyota C-HR
The first Toyota C-HR was an example that Toyota knows how to make also other than boring cars. The sales figures showed that there is need for this second generation, which is even more oriented to the European customers. Now the C-HR is for the first time available as a plug-in hybrid, which is also more pleasant to drive and more quiet than the basic hybrid version. The handling is good, compact size makes it nimble and it is also the most affordable car among the finalists.
Volvo EX30
The EX30 is some kind of a ""Volvo Light"" because obviously due to the challenging target price it has given up some of the basic safety aspects that Volvo has been famous for. There is no instrument cluster nor head-up display (even if the other brands with same Geely SEA architecture have them), no large animal detection and the user interface is complex. Rear seat is very tight and uncomfortable. The suspension comfort is not perfect but the handling is fine. The AWD version has strange delay in front motor clutch which is quite unpleasant in slippery conditions."
France,Christophe Bourroux,9,2,8,1,1,2,2,https://www.caroftheyear.org/votaciones/christophe-bourroux.php?1726491866,"My judgement is based on following grounds:
BMW 5-series
A great car with a fantastic experience driver. The 5-series with impressive performance and driving range and technologically Advanced vehicles. Some very advanced technology such as the highway overtaking system but the price-quality ratio is too high to be designated as a general public car.
BYD Seal
Good autonomy, good value for money. A serious competitor to the Tesla 3. Among its faults: too long a charging time, or even a still weak distribution network
Kia EV9
Car which has the advantage of accommodating many passengers in super comfort. Impeccable driving. But its XXL dimension makes it too imposing to concern a maximum of motorists.
Peugeot 3008
Handling that remains in Peugeot's DNA, driving as pleasant as ever with the small steering wheel, better positioned so that you don't have to worry about seeing the road with the I-Cockpit. Record autonomy for the category in its most powerful version, but which will translate into a higher price.
Renault Scenic
Size, autonomy, driving. The Scenic ticks all the boxes for a family who wants to drive electric in a car that offers good autonomy and very appreciable driving comfort. It corrects all the early flaws of the Megane Etch while bringing modernity such as the blackout roof and many tips for life on board. A good ""popular"" electric car for family.
Toyota C-HR
Compact, efficient and easy to drive for the majority of customers. But the model, even if it improves, does not offer an advance compared to the previous version
Volvo EX30
Even if the car offers serious advantages, such as safety, it does not bring anything really new to the market. Nothing original that would deserve to be distinguished. Especially the interior ultra minimalist with limited storage capacity for the trunk."
,Florence Lagarde,5,10,4,3,0,0,3,https://www.caroftheyear.org/votaciones/florence-lagarde.php?1726491866,"My judgement is based on following grounds:
BMW 5-series
Agile and precise, despite its weight and dimensions, the BMW 5-series is a vehicle that is a real pleasure to drive. In terms of comfort, technology and infotainment, it offers the best on the market, if you can afford it. A classic, elegant saloon in a world dominated by SUVs, the BMW 5-series renews the genre and preserves the best of automotive tradition. As the brand has never won this distinction, rewarding the 5-series would fill a gap.
BYD Seal
The BYD Seal is a dynamic car as are all electric cars. As the manufacturer is first and foremost a battery manufacturer, the vehicle is at the top of its class in terms of consumption. I'd criticise it for being relatively bland and insipid, I find it lacking in charm, I didn't like the feel of the materials or the very tortured dashboard. I think that before it can be named Car of the Year, the brand needs depth and image, as well as customer feedback, to really form an idea of what it's worth.
Kia EV9
The Kia EV9 is one of the most interesting vehicles of this edition in terms of the match between the proposal and the realisation. In addition to its appealing exterior design, the interior layout is particularly well executed, with all seats, including the third row, treated with care. Comfort, ergonomics and connectivity are of the highest order. The lounge configuration with two swivel seats in the second row is particularly interesting.
Peugeot 3008
The Peugeot 3008 has the advantages and disadvantages of a multi-energy platform with a choice of internal combustion and electric engines. Compared with the Scenic, this choice results in a longer and wider vehicle, with less space in the rear seats. Despite its weight, the E-3008 is a dynamic, comfortable car that is great fun to drive. The design of its e-cockpit remains one of its strong points.
Renault Scenic
""Thanks to a platform dedicated to electric propulsion, the Renault Scenic is a compact vehicle with excellent interior space. I very much appreciated its liveliness, its dynamic road holding, the quality of the materials, the warm atmosphere and the functionalities of the multimedia system developed with Google, which remains one of the most efficient on the market. Renault has also made a serious effort on the price front, with prices starting (in France) at €39,990 for a range of up to 430 km and €46,990 for a range of up to 625 km.
Toyota C-HR
The Toyota C-HR is not available in an electric version but in four hybrid powertrains, including a rechargeable hybrid that offers a range of up to 66 km, which in this period of transition is an excellent compromise. Toyota deserves a lot of credit for having dared to take the distinctive design that made the previous generation so successful a step further. I liked the organization of the controls, the ergonomics of the central computer and its driving behavior.
Volvo EX30
The Volvo EX30 disappointed me with its interior architecture. I felt that the choices were made with profitability in mind rather than the customer in mind. The quality of finish and materials is not at the premium level that we have seen in other models from the brand. The decision to bring all the functions together on a central tablet has been taken to extremes: all the controls, including the glovebox release, are on the screen and there's no head-up display either."
